episode,score,avg_score_100,epsilon,episode_steps,mean_loss,duration_s
1,-209.34715044888833,-209.34715044888833,0.7705488893118823,115,1.8332117589620442,0.3679051399230957
2,-214.7279005751085,-212.0375255119984,0.4159480862733536,123,47.45505482588357,0.450319766998291
3,-224.83029145538183,-216.30178082645955,0.2178795886667409,129,47.316285447556844,0.4646940231323242
4,-254.9061491984804,-225.95287291946477,0.11585765144771248,126,42.493173239723085,0.45905590057373047
5,-536.481744977747,-288.0586473311212,0.027350922279685573,288,33.25059575918648,0.826991081237793
6,-783.538202864246,-370.6385732533087,0.01506324653745902,119,30.76161522825225,0.34366488456726074
7,-528.4004959695153,-393.17599078419533,0.00998645168764533,347,22.755480438900268,1.0035099983215332
8,-241.485920108808,-374.21473194977193,0.00998645168764533,128,17.238896726630628,0.3714139461517334
9,-161.6354826962995,-350.5948153660528,0.00998645168764533,239,19.11034841068619,0.7923920154571533
10,-82.92654750610885,-323.8279885800584,0.00998645168764533,119,22.111546241936562,0.3990209102630615
11,-371.6780437653908,-328.1779935969068,0.00998645168764533,331,23.86981319840941,1.1695308685302734
12,-220.95269238735784,-319.2425518294444,0.00998645168764533,954,11.695355916048246,4.54477596282959
13,-23.33859657283473,-296.48070911739745,0.00998645168764533,283,9.80957508613701,1.0704131126403809
14,-268.71900930194136,-294.4977305591506,0.00998645168764533,195,12.639813126661839,1.0144248008728027
15,-213.8216572032976,-289.11932566876044,0.00998645168764533,167,14.130057975203691,0.6186840534210205
16,-227.21465966172104,-285.25028404332045,0.00998645168764533,141,9.98373091389947,0.5334658622741699
17,-324.2357889896573,-287.5435490401638,0.00998645168764533,177,11.455600743913381,0.6942887306213379
18,-283.87087843946824,-287.3395117845696,0.00998645168764533,184,14.834123849868774,0.5471289157867432
19,-113.53758242110474,-278.19204181807146,0.00998645168764533,207,16.217975331389386,0.7228453159332275
20,-311.33280616512656,-279.8490800354242,0.00998645168764533,229,13.460429994820508,0.9739570617675781
21,-273.92634597827396,-279.56704508032186,0.00998645168764533,289,11.653303203698261,1.5284180641174316
22,-432.51321059520404,-286.5191435128165,0.00998645168764533,406,16.56868587896742,1.6866240501403809
23,-395.86214683804764,-291.2731871356527,0.00998645168764533,265,12.703228050357891,0.771798849105835
24,-316.4943822861492,-292.3240702669233,0.00998645168764533,170,15.318426461780772,0.49956202507019043
25,-393.44396101047045,-296.36886589666517,0.00998645168764533,174,12.971886488898047,0.5135197639465332
26,-145.76426886823984,-290.5763813955719,0.00998645168764533,605,14.007000137360627,1.7945811748504639
27,-275.9278079542779,-290.03384163848693,0.00998645168764533,576,13.427345688144365,2.1176340579986572
28,-157.0396723596894,-285.28404987852986,0.00998645168764533,132,11.6313280869614,0.5128660202026367
29,-59.26575483133421,-277.4903155665576,0.00998645168764533,1000,12.775689704775811,4.223229169845581
30,-272.1515344091,-277.31235619464235,0.00998645168764533,184,11.913195304248644,0.6243109703063965
31,-234.14800977139728,-275.91995792292477,0.00998645168764533,414,12.129035456744946,1.603044033050537
32,-79.880142499577,-269.79371369094514,0.00998645168764533,1000,11.098615783929825,3.2150349617004395
